[CH3CH2O]-;Ethoxide;-163.74;-178.68
O-;Oxygen atom anion;105.868;108.096
HCCCCH;1,3-Butadiyne; 458.4;460.13
[CH3]+;Methylium;1099.36;1095.41
HNCO;Isocyanic acid;-115.93;-118.93
NH2CN;Cyanamide;141.62; 135.6
CF2O;Difluorophosgene;-603.34;-606.44
HOF;Hypofluorous acid;-84.38;-87.28
CH2C(CH3)2;Isobutene;  4.31;-16.75
CH2CH2OH;2-Hydroxyethyl;-12.87;-26.13
CH3NCH2;N-Methylenemethanamine; 94.61; 79.69
CH2Cl2;Dichloromethane;-86.84; -93.7
C6H5Cl;Chlorobenzene; 67.28; 52.32
CH3N(O)O;Nitromethane;-60.58;-74.48
CH3NH;Methylamidogen;187.99;177.34
CH3NC;Isocyanomethane;183.81;177.26
CH3CHCCH2;1,2-Butadiene;176.06;162.56
C6H5CH2;Benzyl;230.16;211.35
CH(CHCHCHCH);Cyclopentadienyl;275.62;262.51
CH3CH2OOH;Ethyl hydroperoxide;-142.47;-160.89
[CCH]-;Ethynide;277.32;280.73
SiH(CH3)3;Trimethylsilane;-125.8;-151.9
H2S;Hydrogen sulfide;-17.36;-20.29
H-;Hydride;143.264;145.228
ClCN;Cyanogen chloride;135.14;135.84
[C6H5]-;Phenide;244.27;230.84
CH2(CHCH);Cyclopropene; 292.6;283.87
[HC(O)O]-;Formate;-463.1;-466.74
HC(O)OCH3;Methyl formate;-346.82;-359.87
[H3]+;Trihydrogen cation;1110.3;1106.7
CF;Fluoromethylidyne;243.17;246.78
CH2CHCHO;Acrolein;-55.11;-65.51
OS(O)(OH)2;Sulfuric acid;   nan;-887.52
SiF4;Tetrafluorosilane;-1608.76;-1614.27
O+;Oxygen atom cation;1560.79;1562.64
HONO;Nitrous acid;-72.988;-79.132
[CH2OH]+;Hydroxymethylium;717.75;709.81
[CN]-;Cyanide;63.983;67.269
CH3CCCH3;2-Butyne;159.59;146.62
HCCCH;Propynylidene;543.73;546.73
CH2F2;Difluoromethane;-443.32;-450.93
CH2CHBr;Vinyl bromide; 88.84; 74.03
SiH3;Silyl;204.71;199.23
S(O)(OH)2;Sulfurous acid;   nan;-617.29
FOF;Oxygen difluoride;  26.8; 24.55
[ClO]-;Hypochlorite;-118.6;-118.33
HOI;Hypoiodous acid; -53.6; -58.3
HNO;Nitrosyl hydride;109.93;106.96
CH2CCCH2;Butatriene;328.44;322.18
CH3CH2O;Ethoxy;  1.39;-12.51
CH2CHO;Vinoxy; 22.92; 16.12
CH3CH2OO;Ethylperoxy; -6.09;-22.11
CH3C(OH)CH2;Acetone enol;-151.24;-168.53
CCl2O;Phosgene;-217.49;-219.18
CH3C(O)CH2OH;1-Hydroxy-2-propanone;-354.4;-373.79
HNCN;Cyanoamidogen;322.73;320.24
CHCl3;Chloroform;-94.51;-99.42
CF2CF2;Tetrafluoroethylene;-670.66;-674.06
C6H5CO;Benzoyl;138.85;125.32
CH3ONO;Methyl nitrite;-54.33;-66.11
CH2CHCN;Acrylonitrile;194.02;187.26
SiH3OH;Silanol;  -271;-282.7
C6H4(C4H4);Naphthalene;171.17;147.69
CCC;1,2-Propadiene-1,3-diylidene; 814.4;823.36
[CH2CH]-;Vinyl anion;   237;232.58
BrCN;Cyanogen bromide; 186.8; 180.2
CH3CH2CH2CH2;n-Butyl; 103.1;  80.6
C(CH3)4;neo-Pentane;-134.25;-167.12
CH3CHCHCH3;trans-2-Butene;  9.69;-10.88
CH2CHCH2CH3;1-Butene; 21.24;  0.29
CH3CH2CH2CH2CH2CH3;n-Hexane;-129.89;-166.76
CH2CHOOH;Vinyl hydroperoxide;-26.04;-38.32
CH3CH2CHO;Propionaldehyde;-171.09;-186.5
CH3C(O)OCH3;Methyl acetate;-394.13;  -413
CH3C(O)CH2;Acetonyl;-18.39;-31.99
NH(CH2CH2);Aziridine;143.58;127.05
CBr4;Tetrabromomethane; 144.8; 115.1
CH3CH2Br;Ethyl bromide;-40.97;-62.92
CH2CCO;Propadienone;132.23;130.59
ClF;Chlorine fluoride;-55.622;-55.717
[NNH]+;Diazynium;1042.57;1038.96
[ONO]-;Nitrite;-182.63;-185.44
NH2OH;Hydroxylamine;-33.06;-43.44
CCH2;Vinylidene;411.24;412.15
CH2NH2;Aminomethyl;159.42;149.58
CH3CH2CCH;1-Butyne;180.43;166.84
[CH3C(O)O]-;Acetate;-495.87;  -505
NCN;Methanetetraylbisamidogen; 451.4;451.81
CHBr3;Bromoform; 80.98; 54.83
CH2CHF;Vinyl fluoride;-134.5;-142.31
[C6H5]+;Phenylium;1149.32;1136.54
C6H4(CHCHCH2);Indene; 183.8;159.91
C6H5F;Fluorobenzene;-96.04;-111.71
CH3CH2ONO;Ethyl nitrite;-79.93;-98.67
FO;Fluorooxidanyl;110.28; 110.9
NNO;Nitrous oxide; 86.02;82.591
[NH2]-;Azanide;114.65;111.77
[CH5]+;Methanium;922.03;911.78
HOONO;Peroxynitrous acid; -5.74;-14.18
CH3CH;Ethylidene;361.31; 354.3
[CH2NH2]+;Aminomethylium;763.62;751.65
CH2CN;Cyanomethyl;262.84;259.96
FCN;Cyanic fluoride;  8.49;  8.82
CH2CC;Propadienylidene;554.47;555.61
(CH3)3C;t-Butyl; 75.36; 50.07
CH3CH2CH2CH2CH3;n-Pentane;-114.16;-146.04
CH2(OH)2;Methanediol;-378.49;-392.43
NCO;Cyanooxidanyl;126.96;127.44
CH2CHNH2;Ethenamine; 69.39; 54.83
CH3CH2F;Fluoroethane;-257.24;-272.1
CF3Cl;Chlorotrifluoromethane;-704.26;-709.37
N(CHCHCHCHCH);Pyridine;157.34;140.53
NH2CO;Carbamoyl; -7.73;-14.14
CH2CCCH;1,2,3-Butatrien-1-yl;497.55;497.57
SiH3SiH3;Disilane;    92;  75.9
CH3CCCCCH3;2,4-Hexadiyne;380.37;370.34
BrO;Bromooxidanyl;131.22;123.68
NH2O;Aminooxy; 70.65; 64.05
HNOH;Hydroxyamidogen;101.27; 94.43
[O2]+;Dioxygen cation;1164.59;1165.22
C2;Ethynylene;819.984;828.45
[CH3CH2]-;Ethanide;155.44;144.36
[CH2CH]+;Vinylium;1119.2;1115.75
HCOH;Hydroxymethylene; 112.7;108.93
C(O)(OH)2;Carbonic acid;-602.24;-612.42
HC(O)OOH;Peroxyformic acid;-279.2;-288.55
[CH2CCH]-;1,2-Propadienyl anion; 266.1;263.04
CH3CH2CH2OH;1-Propanol;-231.13;-254.97
CH2(CH2CH2CH2CH2);Cyclopentane;-43.37;-75.94
CH3CHOO;2-Ethylidenedioxidan-2-ium-1-ide; 51.25; 37.79
[C6H5O]-;Phenolate;-145.96;-161.42
CH3CHNH;(1E)-Ethanimine; 55.81;  39.6
HCNN;Diazomethyl;467.86;465.31
CF3Br;Bromotrifluoromethane;-638.62;-650.74
CH(CH(CHCH));Tetrahedrane;547.73;539.32
SiH2;Silylene; 271.6;269.94
OClO;Chlorine dioxide;101.42; 98.95
[BrO]-;Hypobromite;-95.99;-103.47
NF3;Nitrogen trifluoride;-125.84;-131.56
HNNH;(E)-Diazene;207.17;200.03
HCNH;(E)-Iminomethyl; 275.8;272.19
NCCN;Cyanogen;308.19;310.14
HC(O)OO;Peroxyformyl;-100.4;-105.71
CH3CCH2;1-Methylethenyl;263.05;252.65
CH2(CH2CHCHCH2);Cyclopentene; 59.94; 35.67
HOOOH;Trioxidane;-81.75;-90.59
CH2(OO);Dioxirane;  9.43;  1.76
(CH3)3N;Trimethylamine;   2.7;-26.16
CH2NN;Diazomethane;273.63;267.36
CCl2;Dichloromethylene;229.88;231.06
[CF3]+;Trifluoromethylium;409.81; 406.6
CH3CHCO;Methylketene; -54.1;-63.58
SiH2SiH2;Disilene; 288.8; 280.2
HCCCCCH3;1,3-Pentadiyne; 418.2;413.98
S2;Disulfur;127.38;127.69
CH3SCH3;Dimethyl sulfide;-20.22;-36.74
[OOO]-;Ozonide;-58.47;-60.83
NNN;Azido radical;452.38;449.79
[NO]+;Nitrosyl ion;984.49;984.485
[HOCO]+;Hydroxyoxomethylium;600.71;597.63
HNNN;Hydrazoic acid;297.99;291.69
FOOF;Difluorodioxidane; 35.38; 31.65
[CH3CO]+;Acetylium;666.71;659.42
HNC;Hydrogen isocyanide;192.07;192.45
HCCCl;Chloroacetylene;229.36;230.23
HCCF;Fluoroacetylene;104.99;105.71
[CH3CHCH3]+;iso-Propylium;822.99;805.91
CH3CHCH;1-Propenyl;278.21;267.37
[CH3CHOH]+;1-Hydroxyethylium; 608.9;594.48
HCCO;Ketenyl;177.11; 178.2
HCCOH;Ethynol; 95.32; 92.83
CH2(OH)O;Hydroxymethoxy;-159.58;-169.54
CH3CH2CH2CH2OH;1-Butanol;-244.49;-274.74
HC(O)CH2OH;Glycolaldehyde;-304.28;-317.55
OCHCHO;Glyoxal;-207.82;-213.46
CH3NHCH2;(Methylamino)methyl;168.81;152.36
HC(NN);Diazirinyl;491.09; 487.7
CH2(NN);Diazirine; 320.7;   313
CCl3;Trichloromethyl; 73.79; 73.31
CH3CHCl2;1,1-Dichloroethane;-120.15;-132.92
CH2Br2;Dibromomethane; 27.01;  5.61
C6H5Br;Bromobenzene;   127;   105
C6H5CHCH2;Phenylethene;169.91;148.57
C6H5CCH;Phenylacetylene;332.81;317.65
C6H5O;Phenoxy;  71.5; 56.22
[HOO]-;Dioxidanide;-88.92;-91.58
C6H5C(O)CH3;Acetophenone;-60.71; -83.9
CH3NO;Nitrosomethane; 80.95; 71.04
HCCNC;Isocyanoacetylene; 484.8;487.03
CH(CHCHCH);Cyclobutadiene;436.58;428.12
CH2C(CHCHCHCH);Fulvene; 232.2; 216.1
SiH3SiH2;Disilanyl; 242.4; 230.4
SiH2O;Silanone;-93.77;-99.12
SiH3O;Silyloxy;   8.5;   0.6
SH;Sulfanyl;142.81;143.27
CH3SH;Methanethiol;-10.39;-20.66
HOClO;Chlorous acid; 25.77; 20.71
[O2]-;Dioxygen anion;-43.36;-42.72
IO;Iodooxidanyl;127.05;125.12
CF3I;Iodotrifluoromethane;-583.19;-589.09
[CO]+;Carbon monoxide cation;1238.31;1241.59
NH2NH2;Hydrazine;111.75;  97.6
[ON(O)O]-;Nitrate;-299.73;-306.28
[CH3]-;Methanide;141.16;137.72
CH2N;Methyleneamidogen;242.08;238.43
[FO]-;Hypofluorite;-108.84;-108.67
ICN;Cyanogen iodide; 222.5;   222
[HCO]-;Formyl anion;  11.6; 11.98
[CH3CH2CH2]+;n-Propylium;857.17;838.89
CH(CH2CH2);Cyclopropyl;303.91;291.29
CCCH;2-Propynylidyne;718.79;723.14
CH3CH2CH(CH3)2;iso-Pentane;-118.9;-152.95
CH3COH;1-Hydroxyethylidene; 57.45; 47.08
CCO;Dicarbon monoxide;377.13;381.17
(CH3)2N;Dimethylamidogen;175.07;157.73
CH2CHNH;2-Iminoethyl;219.37;   208
HNNC;Isocyanoamidogen; 489.7; 487.7
FOO;Fluorodioxidanyl; 26.87; 25.16
CHCl;Chloromethylene;320.36;320.65
CH2CF2;1,1-Difluoroethene;-343.59;-350.65
C6H4(CH2CH2CH2);Indane; 90.89; 59.86
CH3C6H4C(O)H;o-Tolualdehyde; -44.1; -66.4
NH2C(O)OH;Carbamic acid;-421.82;-435.04
CH3C(O)CHCH2;3-Buten-2-one;-95.28;-111.52
NH2C(O)NH2;Urea;-218.16;-234.56
[NH2CO]+;Oxomethaniminium;695.33;688.77
CH3C(O)NH2;Acetamide;-219.62;-237.13
CH2CCN;1-Cyanovinyl; 419.1; 418.9
HCCCCCH2CH3;1,3-Hexadiyne;405.25;393.56
CH3CHCHCH2;(E)-1-Methylallyl; 152.7;135.38
ICl;Iodine monochloride;19.024;17.391
[IO]-;Hypoiodite;-102.38;-104.19
N+;Nitrogen atom cation;1872.91;1875.69
[NNN]+;Trinitrogen cation;1519.59;1516.96
[NO]-;Oxonitrate anion;  88.1; 88.13
ONN(O)O;Nitrogen sesquioxide; 90.73; 86.16
CF3CF3;Hexafluoroethane;-1334.05;-1342.35
[CH2]+;Methyliumyl;1393.21;1394.07
[CH2]-;Methylene anion;328.18;328.61
[CH]-;Methylidyne anion;475.77;479.09
[C2H7]+;Ethanium;874.39;858.13
[CH3NH3]+;Methylammonium;628.36;609.45
FCl(F)F;Chlorine trifluoride;-158.62;-162.72
[CH3OO]-;Methylperoxy anion;-89.66;-99.81
