Br-;BROMIDE;-206.612;-212.674
HOBr;HYPOBROMOUS ACID;-51.27;-61.74
CH3I;IODOMETHANE; 24.53; 14.99
CH3OO;METHYLPEROXY; 22.56; 13.11
[H3O]+;OXONIUM;605.89;599.14
HCCCN;CYANOACETYLENE;372.26;   374
ClO;CHLOROOXIDANYL;101.124;101.716
I-;IODIDE;-187.996;-188.396
HON(O)O;NITRIC ACID;-124.42;-134.13
HOCO;HYDROXYFORMYL;-181.14;-184.1
CH2CHCl;VINYL CHLORIDE; 29.41; 21.82
NH2CH2C(O)OH;GLYCINE;-377.67;-396.14
[NH4]+;AMMONIUM;643.01; 631.7
NH;IMIDOGEN;358.75; 358.8
CH3CHOH;1-HYDROXYETHYL; -42.7;-56.13
(CH3)2NH;DIMETHYLAMINE;  4.66;-16.98
CH2CHCCH;VINYLACETYLENE;296.48;289.72
OS(O)O;SULFUR TRIOXIDE;-389.75;-395.5
O(CH2CH2);OXIRANE;-39.72;-52.27
[CH3CH2O]-;ETHOXIDE;-163.74;-178.68
O-;OXYGEN ATOM ANION;105.868;108.096
HCCCCH;1,3-BUTADIYNE; 458.4;460.13
[CH3]+;METHYLIUM;1099.36;1095.41
HNCO;ISOCYANIC ACID;-115.93;-118.93
NH2CN;CYANAMIDE;141.62; 135.6
CF2O;DIFLUOROPHOSGENE;-603.34;-606.44
HOF;HYPOFLUOROUS ACID;-84.38;-87.28
CH2C(CH3)2;ISOBUTENE ISOBUTENE IBUTENE;  4.31;-16.75
CH2CH2OH;2-HYDROXYETHYL;-12.87;-26.13
CH3NCH2;N-METHYLENEMETHANAMINE; 94.61; 79.69
CH2Cl2;DICHLOROMETHANE;-86.84; -93.7
C6H5Cl;CHLOROBENZENE; 67.28; 52.32
CH3N(O)O;NITROMETHANE;-60.58;-74.48
CH3NH;METHYLAMIDOGEN;187.99;177.34
CH3NC;ISOCYANOMETHANE;183.81;177.26
CH3CHCCH2;1,2-BUTADIENE;176.06;162.56
C6H5CH2;BENZYL;230.16;211.35
CH(CHCHCHCH);CYCLOPENTADIENYL;275.62;262.51
CH3CH2OOH;ETHYL HYDROPEROXIDE;-142.47;-160.89
[CCH]-;ETHYNIDE;277.32;280.73
SiH(CH3)3;TRIMETHYLSILANE;-125.8;-151.9
H2S;HYDROGEN SULFIDE;-17.36;-20.29
H-;HYDRIDE;143.264;145.228
ClCN;CYANOGEN CHLORIDE;135.14;135.84
[C6H5]-;PHENIDE;244.27;230.84
CH2(CHCH);CYCLOPROPENE; 292.6;283.87
[HC(O)O]-;FORMATE;-463.1;-466.74
HC(O)OCH3;METHYL FORMATE;-346.82;-359.87
[H3]+;TRIHYDROGEN CATION;1110.3;1106.7
CF;FLUOROMETHYLIDYNE;243.17;246.78
CH2CHCHO;ACROLEIN;-55.11;-65.51
OS(O)(OH)2;SULFURIC ACID;   nan;-887.52
SiF4;TETRAFLUOROSILANE;-1608.76;-1614.27
O+;OXYGEN ATOM CATION;1560.79;1562.64
HONO;NITROUS ACID;-72.988;-79.132
[CH2OH]+;HYDROXYMETHYLIUM;717.75;709.81
[CN]-;CYANIDE;63.983;67.269
CH3CCCH3;2-BUTYNE;159.59;146.62
HCCCH;PROPYNYLIDENE;543.73;546.73
CH2F2;DIFLUOROMETHANE;-443.32;-450.93
CH2CHBr;VINYL BROMIDE; 88.84; 74.03
SiH3;SILYL;204.71;199.23
S(O)(OH)2;SULFUROUS ACID;   nan;-617.29
FOF;OXYGEN DIFLUORIDE;  26.8; 24.55
[ClO]-;HYPOCHLORITE;-118.6;-118.33
HOI;HYPOIODOUS ACID; -53.6; -58.3
HNO;NITROSYL HYDRIDE;109.93;106.96
CH2CCCH2;BUTATRIENE;328.44;322.18
CH3CH2O;ETHOXY;  1.39;-12.51
CH2CHO;VINOXY; 22.92; 16.12
CH3CH2OO;ETHYLPEROXY; -6.09;-22.11
CH3C(OH)CH2;ACETONE ENOL;-151.24;-168.53
CCl2O;PHOSGENE;-217.49;-219.18
CH3C(O)CH2OH;1-HYDROXY-2-PROPANONE;-354.4;-373.79
HNCN;CYANOAMIDOGEN;322.73;320.24
CHCl3;CHLOROFORM;-94.51;-99.42
CF2CF2;TETRAFLUOROETHYLENE;-670.66;-674.06
C6H5CO;BENZOYL;138.85;125.32
CH3ONO;METHYL NITRITE;-54.33;-66.11
CH2CHCN;ACRYLONITRILE;194.02;187.26
SiH3OH;SILANOL;  -271;-282.7
C6H4(C4H4);NAPHTHALENE;171.17;147.69
